Date,SUNPHARMA.NS,DRREDDY.NS,CIPLA.NS,ABBOTINDIA.NS,ZYDUSLIFE.NS,JBCHEPHARM.NS,POLYMED.NS,RELIANCE.NS,NTPC.NS,COALINDIA.NS,ADANIPOWER.NS,BPCL.NS,GSPL.NS,UNOMINDA.NS,ITC.NS,MARICO.NS,BRITANNIA.NS,COLPAL.NS,VBL.NS,BALRAMCHIN.NS,NAVNETEDUL.NS
2018-10-29,539.676513671875,417.6288146972656,581.263671875,7236.380859375,332.1020812988281,143.38601684570312,211.5899658203125,472.1314392089844,95.85603332519531,148.2060546875,49.849998474121094,99.73571014404297,170.91490173339844,165.86468505859375,225.2865447998047,306.20867919921875,2520.158447265625,967.7057495117188,43.51099395751953,101.48998260498047,99.8917236328125
2018-11-05,563.8363037109375,413.6218566894531,504.5245666503906,7155.35693359375,333.3976745605469,143.0386505126953,208.7589874267578,480.27923583984375,93.70230865478516,152.11593627929688,50.0,97.92142486572266,177.30250549316406,169.7567138671875,220.5143280029297,308.38262939453125,2585.603759765625,964.4745483398438,43.784400939941406,101.02635192871094,101.92570495605469
2018-11-12,490.5079040527344,426.9008483886719,508.0192565917969,7257.68310546875,328.72406005859375,142.89971923828125,210.6625518798828,495.19122314453125,93.45964813232422,149.3960418701172,47.54999923706055,106.23411560058594,168.0968475341797,175.50912475585938,219.95761108398438,313.9533386230469,2676.13330078125,1009.4891967773438,46.564449310302734,101.67544555664062,97.90292358398438
2018-11-19,496.3589782714844,449.5897216796875,495.90765380859375,7001.91455078125,327.52099609375,137.9673309326172,211.3459014892578,484.40802001953125,88.57583618164062,145.42950439453125,47.54999923706055,105.59086608886719,167.48629760742188,163.29444885253906,223.09927368164062,322.5967712402344,2703.6025390625,1010.1927490234375,44.20744705200195,98.569091796875,98.53571319580078
2018-11-26,464.8854064941406,469.1506042480469,517.8330688476562,7056.5009765625,338.0712890625,138.2683563232422,210.56494140625,512.8262939453125,85.11773681640625,138.77142333984375,55.5,107.00929260253906,175.79953002929688,158.27638244628906,227.31468200683594,325.0569763183594,2852.445068359375,1072.8681640625,44.63913345336914,93.79362487792969,95.14574432373047
2018-12-03,388.1123046875,464.0406494140625,491.74273681640625,7127.873046875,323.3564147949219,140.7693328857422,228.03880310058594,498.00225830078125,83.63136291503906,134.15325927734375,52.54999923706055,107.33915710449219,170.91490173339844,157.71343994140625,217.9691925048828,323.32568359375,2704.502197265625,1086.282958984375,43.194427490234375,92.81997680664062,94.196533203125
2018-12-10,396.9834289550781,446.6599426269531,499.54595947265625,7185.693359375,320.6263427734375,138.5694122314453,216.91018676757812,488.5148620605469,87.05912780761719,140.04640197753906,52.29999923706055,113.903564453125,166.26512145996094,162.5601043701172,219.32131958007812,339.0432434082031,2821.8486328125,1153.7962646484375,41.00721740722656,96.80725860595703,95.82372283935547
2018-12-17,401.3717956542969,449.4777526855469,494.6629333496094,7046.84912109375,316.4154357910156,138.93994140625,214.61614990234375,483.2440185546875,91.33623504638672,143.2196044921875,50.349998474121094,123.58519744873047,166.9226531982422,158.57015991210938,220.11668395996094,344.5556945800781,2807.495361328125,1167.3427734375,42.394378662109375,93.3763427734375,97.5865249633789
2018-12-24,401.2774353027344,451.8646545410156,499.7852783203125,7104.8115234375,319.5619812011719,139.0557098388672,216.66615295410156,494.3786315917969,90.91156768798828,137.29815673828125,50.95000076293945,119.37932586669922,164.1515655517578,158.17848205566406,224.4911651611328,344.51025390625,2788.327392578125,1161.273193359375,43.59157943725586,92.40272521972656,95.91413116455078
2018-12-31,409.3935546875,448.09033203125,490.97674560546875,7136.716796875,318.54400634765625,141.5102996826172,217.2518768310547,482.5632019042969,88.4241714477539,138.01071166992188,50.04999923706055,118.5711898803711,159.68966674804688,162.5111541748047,223.4571990966797,345.19354248046875,2810.10498046875,1152.4326171875,46.469478607177734,101.25817108154297,98.58091735839844
2019-01-07,419.39715576171875,446.04815673828125,488.4874267578125,7687.29443359375,322.3384094238281,139.14834594726562,218.17926025390625,482.2997131347656,89.78919982910156,135.53060913085938,50.25,111.26460266113281,161.00474548339844,153.82138061523438,234.91043090820312,347.5626525878906,2786.8427734375,1160.6573486328125,46.52415466308594,103.01998901367188,98.80692291259766
2019-01-14,368.765625,447.5388488769531,487.72149658203125,7701.46337890625,321.1815490722656,143.77967834472656,210.2232666015625,520.2055053710938,87.54446411132812,134.21763610839844,50.75,116.83940887451172,171.38458251953125,148.48513793945312,231.80850219726562,345.6492004394531,2853.884765625,1153.04833984375,47.01053237915039,100.84089660644531,98.35491943359375
2019-01-21,398.6349792480469,460.56793212890625,486.04595947265625,7803.17236328125,318.081298828125,142.76075744628906,211.3946990966797,547.2842407226562,83.90438079833984,128.9364471435547,49.150001525878906,117.91144561767578,170.30435180664062,143.27125549316406,222.06529235839844,337.0386962890625,2885.6513671875,1133.256103515625,44.37724304199219,95.601806640625,98.53571319580078
2019-01-28,399.4371337890625,481.0509033203125,499.1628723144531,7701.98681640625,299.4795227050781,143.4322967529297,214.0304412841797,549.0191650390625,85.0267333984375,130.24942016601562,44.20000076293945,112.48512268066406,166.68783569335938,140.94580078125,223.37765502929688,343.0068054199219,2925.561767578125,1137.786376953125,47.9688606262207,95.1381607055664,96.59212493896484
2019-02-04,406.79827880859375,477.3368835449219,511.51397705078125,7647.875,298.1375427246094,151.5834503173828,209.930419921875,561.2078857421875,80.11260223388672,127.59425354003906,35.599998474121094,111.29757690429688,156.730712890625,138.76724243164062,219.12249755859375,332.3462219238281,2798.67626953125,1135.63134765625,46.889652252197266,98.98634338378906,94.87454223632812
